BLOCKID,CD113
110010001001000,98
110010001001001,98
110010001001002,98
110010001001003,98
110010001001004,98
110010001001005,98
110010001001006,98
110010001001007,98
110010001001008,98
110010001001009,98
110010001001010,98
110010001001011,98
110010001002000,98
110010001002001,98
110010001002002,98
110010001002003,98
110010001002004,98
110010001002005,98
110010001002006,98
110010001002007,98
110010001002008,98
110010001002009,98
110010001003000,98
110010001003001,98
110010001003002,98
110010001003003,98
110010001003004,98
110010001003005,98
110010001003006,98
110010001003007,98
110010001003008,98
110010001003009,98
110010001003010,98
110010001003011,98
110010001003012,98
110010001004000,98
110010001004001,98
110010001004002,98
110010001004003,98
110010001004004,98
110010001004005,98
110010001004006,98
110010001004007,98
110010001004008,98
110010001004009,98
110010001004010,98
110010001004011,98
110010001004012,98
110010001004013,98
110010001004014,98
110010001004015,98
110010001004016,98
110010001004017,98
110010001004018,98
110010001004019,98
110010001004020,98
110010001004021,98
110010001004022,98
110010001004023,98
110010001004024,98
110010001004025,98
110010001004026,98
110010001004027,98
110010001004028,98
110010001004029,98
110010001004030,98
110010001004031,98
110010001004032,98
110010001004033,98
110010001004034,98
110010001004035,98
110010001004036,98
110010001004037,98
110010001004038,98
110010001004039,98
110010001004040,98
110010001004041,98
110010001004042,98
110010001004043,98
110010001004044,98
110010001004045,98
110010001004046,98
110010001004047,98
110010001004048,98
110010001004049,98
110010001004050,98
110010002011000,98
110010002011001,98
110010002011002,98
110010002021000,98
110010002021001,98
110010002021002,98
110010002021003,98
110010002021004,98
110010002021005,98
110010002021006,98
110010002021007,98
110010002021008,98
110010002021009,98
110010002021010,98
110010002021011,98
110010002022000,98
110010002022001,98
110010002022002,98
110010002022003,98
110010002022004,98
110010002022005,98
110010002022006,98
110010002022007,98
110010002022008,98
110010002023000,98
110010002023001,98
110010002023002,98
110010002023003,98
110010002023004,98
110010002023005,98
110010002023006,98
110010002023007,98
110010002023008,98
110010002023009,98
110010002023010,98
110010002023011,98
110010002023012,98
110010002023013,98
110010002024000,98
110010002024001,98
110010002024002,98
110010002024003,98
110010002024004,98
110010002024005,98
110010002024006,98
110010002024007,98
110010002024008,98
110010002024009,98
110010002024010,98
110010002024011,98
110010002024012,98
110010002024013,98
110010002024014,98
110010002024015,98
110010002024016,98
110010002024017,98
110010002024018,98
110010002024019,98
110010002024020,98
110010002024021,98
110010002024022,98
110010002024023,98
110010002024024,98
110010002024025,98
110010002024026,98
110010002024027,98
110010002024028,98
110010002024029,98
110010002024030,98
110010002024031,98
110010002024032,98
110010002024033,98
110010002024034,98
110010003001000,98
110010003001001,98
110010003001002,98
110010003001003,98
110010003001004,98
110010003001005,98
110010003001006,98
110010003001007,98
110010003001008,98
110010003001009,98
110010003001010,98
110010003001011,98
110010003001012,98
110010003002000,98
110010003002001,98
110010003002002,98
110010003002003,98
110010003002004,98
110010003002005,98
110010003002006,98
110010003003000,98
110010003003001,98
110010003003002,98
110010003003003,98
110010003003004,98
110010003003005,98
110010003003006,98
110010003003007,98
110010003003008,98
110010003003009,98
110010003003010,98
110010003003011,98
110010003003012,98
110010003003013,98
110010003004000,98
110010003004001,98
110010003004002,98
110010003004003,98
110010003004004,98
110010003004005,98
110010003004006,98
110010003004007,98
110010003004008,98
110010003004009,98
110010003004010,98
110010003004011,98
110010004001000,98
110010004001001,98
110010004001002,98
110010004001003,98
110010004001004,98
110010004001005,98
110010004001006,98
110010004001007,98
110010004001008,98
110010004001009,98
110010004001010,98
110010004001011,98
110010004001012,98
110010004001013,98
110010004001014,98
110010004001015,98
110010004001016,98
110010004001017,98
110010004001018,98
110010004001019,98
110010004001020,98
110010004001021,98
110010004001022,98
110010004002000,98
110010004002001,98
110010004002002,98
110010004002003,98
110010004002004,98
110010004002005,98
110010004002006,98
110010004002007,98
110010004002008,98
110010004002009,98
110010004002010,98
110010004002011,98
110010004002012,98
110010004002013,98
110010004002014,98
110010004002015,98
110010004002016,98
110010004002017,98
110010004002018,98
110010004002019,98
110010004002020,98
110010004002021,98
110010004002022,98
110010004002023,98
110010004002024,98
110010004002025,98
110010004002026,98
110010004002027,98
110010004002028,98
110010004002029,98
110010004002030,98
110010005011000,98
110010005011001,98
110010005011002,98
110010005011003,98
110010005011004,98
110010005011005,98
110010005011006,98
110010005011007,98
110010005011008,98
110010005011009,98
110010005011010,98
110010005011011,98
110010005011012,98
110010005011013,98
110010005011014,98
110010005012000,98
110010005012001,98
110010005012002,98
110010005012003,98
110010005012004,98
110010005012005,98
110010005021000,98
110010005021001,98
110010005021002,98
110010005021003,98
110010005021004,98
110010005021005,98
110010005021006,98
110010005021007,98
110010005021008,98
110010005021009,98
110010005021010,98
110010005021011,98
110010005021012,98
110010005021013,98
110010005021014,98
110010005022000,98
110010005022001,98
110010005022002,98
110010005022003,98
110010005022004,98
110010005022005,98
110010005022006,98
